hourAverageMax,pressure500Height,windSpeed,humidity,tempSandburg,inversionBaseHeight,pressureGradientDaggett,inversionBaseTemp,visibility
4.0,5450.0,11,35.0,32.0,5000.0,36.0,33.44,300
7.0,5660.0,6,35.0,47.0,5000.0,28.0,39.38,200
11.0,5680.0,6,61.0,50.0,1144.0,30.0,53.6,120
15.0,5760.0,4,50.0,65.0,547.0,1.0,66.92,100
22.0,5790.0,4,57.0,66.0,413.0,10.0,69.62,120
17.0,5720.0,5,68.0,69.0,610.0,46.0,63.68,60
7.0,5660.0,6,58.0,59.0,3638.0,81.0,51.26,120
10.0,5710.0,5,65.0,64.0,3848.0,45.0,56.84,100
19.0,5780.0,7,78.0,68.0,1479.0,40.0,68.0,100
18.0,5750.0,7,73.0,49.0,1108.0,55.0,65.48,27
12.0,5700.0,5,41.0,52.0,869.0,0.0,58.1,40
6.0,5620.0,9,47.0,56.0,5000.0,43.0,38.3,140
9.0,5650.0,6,46.0,55.0,5000.0,49.0,37.94,150
19.0,5730.0,5,61.0,66.0,1148.0,31.0,60.8,100
21.0,5810.0,4,55.0,74.0,856.0,4.0,75.38,100
29.0,5790.0,4,60.0,76.0,807.0,16.0,73.04,120
16.0,5740.0,8,78.0,70.0,2040.0,46.0,63.5,150
11.0,5690.0,4,71.0,67.0,314.0,60.0,59.0,120
2.0,5680.0,6,77.0,41.0,5000.0,75.0,40.82,120
12.0,5650.0,8,66.0,61.0,1410.0,20.0,55.22,140
16.0,5730.0,6,74.0,68.0,360.0,23.0,62.42,120
22.0,5730.0,3,78.0,69.0,1568.0,32.0,67.64,70
20.0,5760.0,7,78.0,74.0,1184.0,40.0,68.72,80
27.0,5830.0,6,75.0,74.0,898.0,24.0,73.4,70
33.0,5880.0,3,80.0,80.0,436.0,0.0,86.36,40
25.0,5890.0,6,88.0,84.0,774.0,6.0,86.0,20
31.0,5850.0,4,76.0,78.0,1181.0,50.0,79.88,17
18.0,5820.0,6,63.0,80.0,1991.0,47.0,69.62,40
24.0,5800.0,7,78.0,76.0,1597.0,56.0,68.0,50
16.0,5740.0,3,74.0,74.0,1184.0,52.0,69.44,70
12.0,5710.0,7,63.0,66.0,3005.0,58.0,59.18,80
9.0,5720.0,8,62.0,66.0,2880.0,53.0,57.38,120
16.0,5740.0,5,53.0,69.0,2125.0,64.0,59.0,100
8.0,5690.0,9,62.0,62.0,3720.0,74.0,50.9,120
9.0,5730.0,5,71.0,67.0,4337.0,66.0,59.36,200
29.0,5780.0,3,68.0,80.0,2053.0,31.0,72.86,120
20.0,5790.0,7,79.0,76.0,1958.0,70.0,70.52,40
5.0,5750.0,3,76.0,65.0,3644.0,86.0,59.36,70
5.0,5680.0,6,71.0,65.0,1368.0,75.0,58.46,100
11.0,5720.0,3,66.0,63.0,3539.0,73.0,53.6,120
12.0,5770.0,4,81.0,62.0,2785.0,49.0,63.32,100
19.0,5800.0,4,72.0,68.0,984.0,26.0,69.26,120
17.0,5780.0,8,92.0,68.0,1804.0,56.0,68.0,70
19.0,5740.0,6,71.0,69.0,3234.0,77.0,62.78,80
16.0,5730.0,6,64.0,66.0,3441.0,67.0,60.98,100
14.0,5760.0,6,68.0,70.0,1578.0,61.0,60.8,100
10.0,5770.0,7,59.0,70.0,1850.0,76.0,60.8,120
9.0,5690.0,8,67.0,64.0,2962.0,80.0,59.36,120
7.0,5650.0,6,66.0,61.0,2670.0,54.0,55.4,120
5.0,5610.0,3,61.0,52.0,5000.0,76.0,42.08,150
2.0,5570.0,9,81.0,48.0,5000.0,57.0,40.82,140
12.0,5690.0,5,63.0,59.0,5000.0,46.0,51.26,140
22.0,5760.0,3,58.0,67.0,987.0,28.0,63.86,140
17.0,5810.0,5,68.0,66.0,1148.0,43.0,66.92,140
26.0,5830.0,4,71.0,74.0,898.0,-24.0,77.9,60
27.0,5880.0,6,67.0,83.0,777.0,-1.0,82.58,30
14.0,5860.0,3,64.0,78.0,1279.0,75.0,71.6,17
11.0,5830.0,6,64.0,75.0,1046.0,69.0,68.72,80
23.0,5870.0,4,69.0,84.0,1167.0,50.0,74.3,60
26.0,5860.0,3,77.0,81.0,987.0,45.0,75.74,100
21.0,5800.0,3,61.0,79.0,1144.0,57.0,71.24,120
15.0,5800.0,4,69.0,79.0,977.0,60.0,70.7,150
20.0,5770.0,5,64.0,65.0,770.0,26.0,75.56,120
15.0,5860.0,4,33.0,81.0,629.0,-11.0,86.36,140
18.0,5870.0,7,38.0,84.0,337.0,-14.0,89.78,140
26.0,5870.0,4,54.0,83.0,590.0,26.0,85.1,120
19.0,5860.0,6,39.0,90.0,400.0,19.0,83.3,120
13.0,5880.0,5,43.0,90.0,580.0,9.0,87.26,80
30.0,5870.0,7,55.0,93.0,646.0,25.0,89.24,140
26.0,5860.0,4,77.0,88.0,826.0,41.0,84.38,140
15.0,5830.0,5,63.0,72.0,823.0,52.0,74.48,150
16.0,5820.0,5,65.0,72.0,2116.0,47.0,70.34,120
16.0,5820.0,8,64.0,70.0,2972.0,52.0,64.4,120
19.0,5860.0,6,68.0,78.0,2752.0,41.0,69.98,140
23.0,5870.0,3,76.0,87.0,1377.0,37.0,78.44,100
28.0,5890.0,6,71.0,91.0,1486.0,33.0,79.88,50
34.0,5900.0,6,86.0,87.0,990.0,22.0,85.1,40
33.0,5890.0,5,65.0,91.0,508.0,29.0,85.28,100
24.0,5910.0,4,73.0,88.0,1204.0,56.0,79.88,100
17.0,5900.0,5,69.0,83.0,2414.0,63.0,76.46,60
10.0,5860.0,3,64.0,78.0,2385.0,67.0,70.34,50
14.0,5830.0,3,63.0,79.0,2326.0,64.0,71.24,70
13.0,5850.0,9,72.0,77.0,3389.0,56.0,68.72,80
17.0,5830.0,6,82.0,81.0,2818.0,58.0,71.78,80
22.0,5810.0,8,69.0,76.0,2394.0,54.0,69.62,90
19.0,5830.0,4,74.0,78.0,2746.0,61.0,69.44,120
20.0,5830.0,5,69.0,75.0,2493.0,55.0,72.5,120
25.0,5840.0,7,72.0,82.0,1528.0,42.0,73.94,100
28.0,5870.0,6,73.0,84.0,111.0,40.0,78.08,60
29.0,5870.0,4,90.0,86.0,1899.0,45.0,76.46,40
23.0,5860.0,3,80.0,80.0,1289.0,32.0,75.2,40
26.0,5900.0,3,73.0,80.0,984.0,35.0,78.8,70
14.0,5890.0,4,71.0,84.0,836.0,28.0,81.5,80
13.0,5880.0,4,78.0,84.0,826.0,27.0,79.34,80
26.0,5890.0,6,80.0,81.0,1105.0,39.0,74.12,80
22.0,5870.0,8,74.0,85.0,1023.0,46.0,77.18,80
14.0,5820.0,6,63.0,73.0,2956.0,46.0,67.28,120
13.0,5780.0,6,57.0,72.0,2988.0,56.0,65.66,150
9.0,5770.0,3,55.0,68.0,4291.0,60.0,62.24,200
12.0,5790.0,4,65.0,65.0,3330.0,59.0,58.64,150
14.0,5840.0,7,65.0,79.0,1233.0,30.0,70.52,100
24.0,5910.0,5,72.0,81.0,1069.0,28.0,74.3,80
19.0,5890.0,5,79.0,80.0,984.0,57.0,73.4,70
16.0,5870.0,6,62.0,76.0,1653.0,71.0,68.72,60
7.0,5780.0,7,65.0,59.0,3930.0,68.0,59.18,150
2.0,5730.0,5,77.0,55.0,5000.0,73.0,51.62,200
4.0,5780.0,7,70.0,66.0,5000.0,45.0,51.26,200
6.0,5750.0,7,58.0,64.0,4212.0,46.0,56.84,200
12.0,5760.0,5,58.0,62.0,5000.0,52.0,49.82,250
9.0,5730.0,7,72.0,67.0,5000.0,31.0,57.38,300
15.0,5730.0,5,77.0,74.0,1545.0,43.0,65.66,70
17.0,5790.0,4,57.0,74.0,994.0,44.0,69.62,300
13.0,5750.0,3,67.0,70.0,1125.0,55.0,68.0,150
20.0,5880.0,3,73.0,77.0,636.0,16.0,73.94,300
22.0,5890.0,7,70.0,83.0,748.0,32.0,77.0,30
24.0,5880.0,4,73.0,81.0,692.0,44.0,77.72,100
26.0,5870.0,7,73.0,73.0,807.0,39.0,78.8,100
32.0,5900.0,6,71.0,87.0,869.0,19.0,78.98,17
33.0,5920.0,4,77.0,89.0,800.0,24.0,85.64,20
27.0,5930.0,3,68.0,92.0,393.0,6.0,91.76,4
38.0,5950.0,5,62.0,92.0,557.0,0.0,90.68,70
23.0,5950.0,8,61.0,93.0,620.0,27.0,85.64,30
19.0,5900.0,5,71.0,93.0,1404.0,33.0,84.74,70
19.0,5890.0,8,77.0,86.0,898.0,21.0,80.6,60
15.0,5860.0,7,71.0,76.0,377.0,-2.0,83.3,40
28.0,5840.0,5,67.0,81.0,528.0,17.0,78.8,50
10.0,5800.0,6,74.0,78.0,2818.0,26.0,72.68,70
14.0,5760.0,7,65.0,73.0,3247.0,10.0,67.28,140
26.0,5810.0,6,82.0,80.0,895.0,0.0,78.08,100
17.0,5850.0,4,67.0,81.0,721.0,0.0,80.24,120
3.0,5760.0,7,87.0,52.0,5000.0,39.0,51.8,150
14.0,5860.0,4,71.0,63.0,1965.0,13.0,60.98,50
29.0,5830.0,5,77.0,72.0,1853.0,10.0,70.88,70
18.0,5840.0,5,78.0,75.0,2342.0,7.0,71.42,40
3.0,5800.0,7,72.0,55.0,5000.0,56.0,51.62,70
9.0,5790.0,3,71.0,61.0,4028.0,35.0,55.04,140
19.0,5830.0,5,71.0,71.0,2716.0,26.0,63.68,140
8.0,5810.0,5,76.0,71.0,3671.0,31.0,65.84,100
23.0,5780.0,6,76.0,72.0,3795.0,31.0,66.92,70
13.0,5800.0,6,73.0,75.0,3120.0,35.0,66.92,40
7.0,5800.0,5,80.0,65.0,2667.0,17.0,63.5,100
3.0,5780.0,9,73.0,61.0,5000.0,39.0,52.7,120
5.0,5790.0,8,80.0,60.0,5000.0,36.0,48.92,120
11.0,5770.0,5,75.0,64.0,308.0,25.0,68.72,140
12.0,5750.0,4,68.0,61.0,2982.0,18.0,59.9,120
5.0,5640.0,5,93.0,63.0,5000.0,30.0,52.7,70
4.0,5640.0,7,57.0,62.0,5000.0,25.0,51.26,150
5.0,5650.0,3,70.0,59.0,5000.0,38.0,47.66,200
4.0,5710.0,6,65.0,56.0,5000.0,35.0,47.84,200
10.0,5760.0,6,66.0,59.0,3070.0,13.0,60.08,200
17.0,5840.0,4,73.0,72.0,830.0,0.0,72.14,70
26.0,5880.0,3,77.0,71.0,711.0,-9.0,75.56,40
30.0,5890.0,5,80.0,75.0,1049.0,-10.0,78.98,50
18.0,5890.0,4,73.0,71.0,511.0,-39.0,83.84,17
12.0,5890.0,5,19.0,71.0,5000.0,-40.0,67.64,80
7.0,5890.0,6,19.0,73.0,5000.0,-34.0,69.44,250
15.0,5850.0,3,73.0,78.0,377.0,-3.0,78.8,200
12.0,5830.0,5,76.0,73.0,862.0,27.0,73.58,2
7.0,5830.0,8,77.0,71.0,337.0,-17.0,81.14,20
28.0,5860.0,5,86.0,73.0,492.0,-2.0,82.22,7
22.0,5830.0,5,76.0,71.0,1394.0,13.0,75.02,30
18.0,5800.0,7,66.0,66.0,3146.0,27.0,64.04,50
14.0,5830.0,4,74.0,69.0,2234.0,11.0,66.74,70
24.0,5790.0,5,71.0,69.0,2109.0,21.0,69.62,17
10.0,5730.0,4,84.0,64.0,5000.0,23.0,54.5,80
14.0,5780.0,5,74.0,65.0,2270.0,-7.0,68.9,50
9.0,5740.0,7,48.0,54.0,2191.0,-13.0,68.72,60
12.0,5710.0,8,75.0,62.0,3448.0,12.0,58.64,60
7.0,5690.0,6,74.0,56.0,5000.0,13.0,48.92,80
7.0,5670.0,4,67.0,55.0,5000.0,11.0,49.46,50
6.0,5760.0,4,75.0,58.0,2719.0,25.0,56.84,50
13.0,5820.0,5,71.0,48.0,1899.0,21.0,62.06,40
5.0,5790.0,3,35.0,54.0,5000.0,-41.0,52.52,40
3.0,5760.0,5,23.0,57.0,5000.0,-21.0,50.9,300
7.0,5800.0,6,19.0,60.0,5000.0,-19.0,54.32,200
8.0,5810.0,7,59.0,61.0,2385.0,10.0,60.44,150
10.0,5750.0,4,60.0,63.0,1938.0,0.0,62.6,100
12.0,5840.0,0,38.0,65.0,590.0,-11.0,69.98,100
6.0,5920.0,3,22.0,71.0,328.0,-40.0,80.6,150
5.0,5860.0,7,19.0,70.0,5000.0,-29.0,61.7,300
20.0,5840.0,0,45.0,68.0,597.0,-22.0,73.58,30
14.0,5810.0,2,47.0,69.0,469.0,-4.0,71.78,50
16.0,5770.0,2,73.0,59.0,1541.0,18.0,63.14,20
5.0,5710.0,4,67.0,49.0,5000.0,24.0,41.9,200
3.0,5500.0,9,56.0,39.0,5000.0,15.0,41.72,120
5.0,5660.0,3,54.0,50.0,5000.0,27.0,44.6,300
1.0,5700.0,3,71.0,46.0,5000.0,54.0,42.8,200
5.0,5810.0,5,59.0,54.0,5000.0,-28.0,53.6,70
4.0,5860.0,0,25.0,60.0,5000.0,-38.0,63.5,140
11.0,5900.0,0,24.0,62.0,5000.0,-36.0,60.08,150
6.0,5850.0,5,41.0,65.0,2014.0,-20.0,69.98,200
8.0,5780.0,3,50.0,66.0,436.0,1.0,70.34,4
14.0,5790.0,0,76.0,66.0,830.0,3.0,66.02,40
18.0,5780.0,2,82.0,63.0,1112.0,-8.0,66.38,30
12.0,5770.0,2,81.0,62.0,1210.0,-17.0,67.82,30
9.0,5750.0,2,85.0,60.0,501.0,-22.0,70.88,2
7.0,5780.0,5,76.0,63.0,875.0,-15.0,68.9,0
14.0,5790.0,5,66.0,60.0,1601.0,7.0,62.06,30
4.0,5750.0,6,58.0,58.0,5000.0,59.0,41.9,60
3.0,5670.0,8,19.0,34.0,5000.0,-63.0,37.04,150
3.0,5760.0,0,19.0,36.0,5000.0,-52.0,41.0,100
3.0,5770.0,4,19.0,44.0,2280.0,-54.0,55.76,250
3.0,5810.0,2,19.0,53.0,2047.0,-43.0,63.5,150
3.0,5810.0,2,19.0,52.0,5000.0,-69.0,56.48,200
3.0,5870.0,3,19.0,53.0,3720.0,-50.0,61.34,200
3.0,5830.0,2,27.0,58.0,311.0,-24.0,69.98,200
6.0,5760.0,0,64.0,55.0,2536.0,28.0,56.48,80
6.0,5680.0,0,52.0,50.0,1154.0,-22.0,61.52,60
5.0,5780.0,4,19.0,48.0,2933.0,-40.0,59.9,300
3.0,5810.0,3,19.0,51.0,3064.0,-33.0,62.78,200
4.0,5760.0,0,32.0,62.0,826.0,-16.0,64.76,300
7.0,5680.0,0,58.0,40.0,5000.0,2.0,42.98,50
5.0,5750.0,0,26.0,44.0,111.0,-52.0,68.18,40
5.0,5790.0,5,19.0,49.0,5000.0,-48.0,54.68,70
4.0,5770.0,3,19.0,53.0,5000.0,-37.0,55.58,150
3.0,5750.0,0,19.0,53.0,5000.0,-26.0,51.08,150
2.0,5720.0,0,19.0,53.0,5000.0,-31.0,51.44,70
5.0,5760.0,3,19.0,55.0,948.0,-48.0,70.7,200
3.0,5780.0,0,19.0,51.0,5000.0,-50.0,50.9,120
4.0,5660.0,4,19.0,54.0,5000.0,-22.0,48.56,150
4.0,5610.0,2,58.0,48.0,3687.0,-10.0,46.94,150
6.0,5640.0,0,51.0,53.0,5000.0,0.0,44.24,60
6.0,5680.0,3,52.0,49.0,5000.0,-19.0,45.68,70
3.0,5650.0,5,19.0,48.0,5000.0,-28.0,45.32,150
4.0,5710.0,4,19.0,51.0,5000.0,-25.0,48.38,300
3.0,5680.0,4,57.0,47.0,508.0,-10.0,58.64,100
8.0,5630.0,4,50.0,50.0,2851.0,-5.0,50.0,70
2.0,5730.0,3,53.0,51.0,111.0,-14.0,72.5,200
3.0,5690.0,3,23.0,51.0,5000.0,-36.0,51.26,70
5.0,5650.0,3,61.0,50.0,3704.0,18.0,46.94,40
1.0,5550.0,4,85.0,39.0,5000.0,8.0,39.92,100
